iso3,occupation,employment,w_within_emp
AGO,3314,12.337571428571424,3.957357154610587e-4
AGO,3315,12.337571428571424,3.957357154610587e-4
AGO,3321,12.337571428571424,3.957357154610587e-4
AGO,3322,12.337571428571424,3.957357154610587e-4
AGO,3323,12.337571428571424,3.957357154610587e-4
AGO,3324,12.337571428571424,3.957357154610587e-4
AGO,3331,12.337571428571424,3.957357154610587e-4
AGO,3332,12.337571428571424,3.957357154610587e-4
AGO,3333,12.337571428571424,3.957357154610587e-4
AGO,3334,12.337571428571424,3.957357154610587e-4
AGO,3339,12.337571428571424,3.957357154610587e-4
AGO,3341,12.337571428571424,3.957357154610587e-4
AGO,3342,12.337571428571424,3.957357154610587e-4
AGO,3343,12.337571428571424,3.957357154610587e-4
AGO,3352,12.337571428571424,3.957357154610587e-4
AGO,3353,12.337571428571424,3.957357154610587e-4
AGO,3354,12.337571428571424,3.957357154610587e-4
AGO,3355,12.337571428571424,3.957357154610587e-4
AGO,3411,12.337571428571424,3.957357154610587e-4
AGO,3412,12.337571428571424,3.957357154610587e-4
AGO,3421,12.337571428571424,3.957357154610587e-4
AGO,3422,12.337571428571424,3.957357154610587e-4
AGO,3423,12.337571428571424,3.957357154610587e-4
AGO,3431,12.337571428571424,3.957357154610587e-4
AGO,3432,12.337571428571424,3.957357154610587e-4
AGO,3434,12.337571428571424,3.957357154610587e-4
AGO,3512,12.337571428571424,3.957357154610587e-4
AGO,3513,12.337571428571424,3.957357154610587e-4
AGO,3514,12.337571428571424,3.957357154610587e-4
AGO,3521,12.337571428571424,3.957357154610587e-4
AGO,3522,12.337571428571424,3.957357154610587e-4
AGO,4110,8.84364,2.8366556764772267e-4
AGO,4120,8.84364,2.8366556764772267e-4
AGO,4131,8.84364,2.8366556764772267e-4
AGO,4132,8.84364,2.8366556764772267e-4
AGO,4211,8.84364,2.8366556764772267e-4
AGO,4212,8.84364,2.8366556764772267e-4
AGO,4214,8.84364,2.8366556764772267e-4
AGO,4221,8.84364,2.8366556764772267e-4
AGO,4222,8.84364,2.8366556764772267e-4
AGO,4223,8.84364,2.8366556764772267e-4
AGO,4224,8.84364,2.8366556764772267e-4
AGO,4225,8.84364,2.8366556764772267e-4
AGO,4226,8.84364,2.8366556764772267e-4
AGO,4227,8.84364,2.8366556764772267e-4
AGO,4311,8.84364,2.8366556764772267e-4
AGO,4312,8.84364,2.8366556764772267e-4
AGO,4313,8.84364,2.8366556764772267e-4
AGO,4321,8.84364,2.8366556764772267e-4
AGO,4322,8.84364,2.8366556764772267e-4
AGO,4323,8.84364,2.8366556764772267e-4
AGO,4412,8.84364,2.8366556764772267e-4
AGO,4413,8.84364,2.8366556764772267e-4
AGO,4415,8.84364,2.8366556764772267e-4
AGO,4416,8.84364,2.8366556764772267e-4
AGO,4419,8.84364,2.8366556764772267e-4
AGO,5111,229.52682758620688,0.007362223907533813
AGO,5112,229.52682758620688,0.007362223907533813
AGO,5113,229.52682758620688,0.007362223907533813
AGO,5120,229.52682758620688,0.007362223907533813
AGO,5131,229.52682758620688,0.007362223907533813
AGO,5132,229.52682758620688,0.007362223907533813
AGO,5141,229.52682758620688,0.007362223907533813
AGO,5142,229.52682758620688,0.007362223907533813
AGO,5151,229.52682758620688,0.007362223907533813
AGO,5152,229.52682758620688,0.007362223907533813
AGO,5153,229.52682758620688,0.007362223907533813
AGO,5162,229.52682758620688,0.007362223907533813
AGO,5164,229.52682758620688,0.007362223907533813
AGO,5222,229.52682758620688,0.007362223907533813
AGO,5223,229.52682758620688,0.007362223907533813
AGO,5230,229.52682758620688,0.007362223907533813
AGO,5241,229.52682758620688,0.007362223907533813
AGO,5242,229.52682758620688,0.007362223907533813
AGO,5244,229.52682758620688,0.007362223907533813
AGO,5246,229.52682758620688,0.007362223907533813
AGO,5311,229.52682758620688,0.007362223907533813
AGO,5312,229.52682758620688,0.007362223907533813
AGO,5321,229.52682758620688,0.007362223907533813
AGO,5322,229.52682758620688,0.007362223907533813
AGO,5329,229.52682758620688,0.007362223907533813
AGO,5412,229.52682758620688,0.007362223907533813
AGO,5413,229.52682758620688,0.007362223907533813
AGO,5414,229.52682758620688,0.007362223907533813
AGO,5419,229.52682758620688,0.007362223907533813
AGO,6112,2874.3965000000003,0.09219815763838501
AGO,6113,2874.3965000000003,0.09219815763838501
AGO,6130,2874.3965000000003,0.09219815763838501
AGO,6210,2874.3965000000003,0.09219815763838501
AGO,6221,2874.3965000000003,0.09219815763838501
AGO,6224,2874.3965000000003,0.09219815763838501
AGO,7112,47.480675,0.0015229738689241119
AGO,7115,47.480675,0.0015229738689241119
AGO,7121,47.480675,0.0015229738689241119
AGO,7122,47.480675,0.0015229738689241119
AGO,7124,47.480675,0.0015229738689241119
AGO,7125,47.480675,0.0015229738689241119
AGO,7126,47.480675,0.0015229738689241119
AGO,7127,47.480675,0.0015229738689241119
AGO,7131,47.480675,0.0015229738689241119
AGO,7132,47.480675,0.0015229738689241119
AGO,7211,47.480675,0.0015229738689241119
AGO,7212,47.480675,0.0015229738689241119
AGO,7213,47.480675,0.0015229738689241119
AGO,7214,47.480675,0.0015229738689241119
AGO,7215,47.480675,0.0015229738689241119
AGO,7222,47.480675,0.0015229738689241119
AGO,7223,47.480675,0.0015229738689241119
